author,date,href,push,title
sonans, 4/22,/bbs/movie/M.1650635120.A.2FF.html,6,Re: [新聞] 強尼戴普心死:不再演出任何神鬼奇航系列
jej, 4/22,/bbs/movie/M.1650635977.A.127.html,54,[討論] 黃飛鴻這年代還有誰可以演？
alberthaha, 4/22,/bbs/movie/M.1650636718.A.2FD.html,10,[好無雷]  超吉任務
bee14523, 4/22,/bbs/movie/M.1650638209.A.36A.html,1,[問片] （有雷）兩對夫妻出去玩交換伴侶
jacklee2302, 4/22,/bbs/movie/M.1650639861.A.D7F.html,9,[好雷]媽的多重宇宙真的很棒的一部電影 
kenny1300175, 4/22,/bbs/movie/M.1650640806.A.E1C.html,9,[新聞] 外媒分析沒強尼戴普 迪士尼反而迎來新曙光
gaiaesque, 4/22,/bbs/movie/M.1650641944.A.50C.html,3,[好雷] 惡之畫
lanzong, 4/22,/bbs/movie/M.1650642059.A.0C1.html,4,[好雷]  超吉任務-雞首牛後
axsz1116, 4/23,/bbs/movie/M.1650643667.A.4DE.html,30,[ 負雷] 媽的多重宇宙  讓我的宇宙睡死
frzzve, 4/23,/bbs/movie/M.1650644292.A.EA2.html,14,[討論] 媽的多重宇宙的技術規格與音效
jim19911126, 4/23,/bbs/movie/M.1650646493.A.243.html,25,[負雷] 媽的多重宇宙，新意滿滿但令人失望 
Fuzishan, 4/23,/bbs/movie/M.1650648237.A.255.html,3,[好無雷] 媽的多重宇宙-注射一點選擇的勇氣
KKKKKvs333, 4/23,/bbs/movie/M.1650650722.A.820.html,3,[請益] 媽的多重宇宙的笑點在什麼程度？
qpr322, 4/22,/bbs/movie/M.1650597090.A.58C.html,8,[情報] 比爾墨瑞遭投訴「不當行為」！新片暫停拍攝中
kenny1300175, 4/22,/bbs/movie/M.1650598872.A.070.html,23,[新聞] 威爾新片喊停 Netflix傳決定棄拍光靈續集
chirex, 4/22,/bbs/movie/M.1650599891.A.026.html,11,Re: [情報] 比爾墨瑞遭投訴「不當行為」！新片暫停拍攝中
YeezyBoost, 4/22,/bbs/movie/M.1650600044.A.5C6.html,3,[新聞] 原田知世《輪到你了》辦婚禮 洞房夜調情
a122239, 4/22,/bbs/movie/M.1650603104.A.5CE.html,2,[普雷] 《急急復雞雞》，記住自己是誰。
caeasonfb, 4/22,/bbs/movie/M.1650603375.A.FD6.html,29,[討論] 大家最喜歡哥吉拉系列裡面的誰?
a86425380, 4/22,/bbs/movie/M.1650604993.A.2B8.html,17,Re: [新聞] 新版《康斯坦汀》傳將由黑人男星主演
max199083, 4/22,/bbs/movie/M.1650606179.A.6CC.html,2,[討論] iTunes特價 王牌大騙子/1917/星際救援
Polestar, 4/22,/bbs/movie/M.1650606229.A.743.html,1,[普雷] 怪獸與路人的秘密
tseng84218, 4/22,/bbs/movie/M.1650609009.A.6C3.html,1,[新聞] 韓國電影《阿爸休假中》口碑爆棚
corelar, 4/22,/bbs/movie/M.1650609281.A.C4F.html,18,[ 無雷] 魔神英雄傳 七魂的龍神丸 再會
Zionward, 4/22,/bbs/movie/M.1650612009.A.15B.html,4,Re: [新聞] 強尼戴普作證前妻在他床上便便 提出安
allencyh, 4/22,/bbs/movie/M.1650612866.A.2E5.html,7,[好微雷] 超吉任務，凱吉演技大集合
jack5u06d93, 4/22,/bbs/movie/M.1650613245.A.9BB.html,15,[討論] 如果美國拍超人力霸王會去看嗎？
caeasonfb, 4/22,/bbs/movie/M.1650613346.A.D8E.html,8,[新聞] 奧斯卡風波燒不停！影后被逼「輪椅登台」
Gavatzky, 4/22,/bbs/movie/M.1650613910.A.2A9.html,15,[討論] 有沒有哪些港片後來被平反的？
hecticgem, 4/22,/bbs/movie/M.1650616951.A.F46.html,21,[好雷] 媽的多重宇宙 
ATCTaiwan, 4/21,/bbs/movie/M.1650541600.A.519.html,1,[新聞] 日本「恐怖村莊系列」第三彈《牛首村》登
kenny1300175, 4/21,/bbs/movie/M.1650542343.A.BA5.html,79,[新聞] 強尼戴普心死:不再演出任何神鬼奇航系列
kkaicd1, 4/21,/bbs/movie/M.1650546886.A.B72.html,1,[新聞] 柴崎幸【燃燒的劍】與岡田准一靠設計傳情
x8109199, 4/21,/bbs/movie/M.1650548914.A.152.html,1,Re: [新聞] 車庫娛樂正式提告侵權 觸電網反咬破壞市場
kenny1300175, 4/21,/bbs/movie/M.1650549752.A.B64.html,13,[新聞]《鋼鐵人3》反派有機會回歸MCU? 蓋皮爾斯
DramaLogue, 4/21,/bbs/movie/M.1650551784.A.AD6.html,17,[情報] 皮克斯年度動畫《巴斯光年》全新預告登場
edwin11017, 4/21,/bbs/movie/M.1650553098.A.1D4.html,60,[片單] 出現過美國西部 小鎮園遊會場景的電影
guets, 4/21,/bbs/movie/M.1650554304.A.5CD.html,46,[討論] 安珀後台很硬嗎 為啥cancel不掉
TCPai, 4/21,/bbs/movie/M.1650554668.A.B22.html,17,Re: [討論] 大家都喜歡魔戒裡面的誰？
surenas, 4/22,/bbs/movie/M.1650557258.A.49B.html,5,[請益] 請問老片陰森林的問題(有雷)
godofsex, 4/22,/bbs/movie/M.1650557495.A.A83.html,82,[新聞] 強尼戴普作證前妻在他床上便便 提出安
surenas, 4/22,/bbs/movie/M.1650561051.A.F74.html,69,Re: [討論] 大家都喜歡魔戒裡面的誰？
qpr322, 4/22,/bbs/movie/M.1650563163.A.7B9.html,4,[情報] 2022 坎城影展 新增片單公布！
shen0348, 4/22,/bbs/movie/M.1650563738.A.B22.html,53,[新聞] 凱吉親揭拒絕《駭客任務》《魔戒》的原因
zkowntu, 4/22,/bbs/movie/M.1650586094.A.93D.html,5,[新聞]80歲傳奇影帝離世!雅克貝漢曾演放牛班春天 
Zionward, 4/22,/bbs/movie/M.1650593056.A.354.html,10,Re: [新聞] 新版《康斯坦汀》傳將由黑人男星主演
